Date,Asset,Price,Log_Return
2016-01-04,GOLD,1075.1,
2016-01-05,GOLD,1078.4,0.003065
2016-01-06,GOLD,1091.9,0.012441
2016-01-07,GOLD,1107.7,0.014366
2016-01-08,GOLD,1097.8,-0.008978
2016-01-11,GOLD,1096.5,-0.001185
2016-01-12,GOLD,1085.6,-0.00999
2016-01-13,GOLD,1087.5,0.001749
2016-01-14,GOLD,1073.9,-0.012585
2016-01-15,GOLD,1091.5,0.016256
2016-01-19,GOLD,1089.9,-0.001467
2016-01-20,GOLD,1107.1,0.015658
2016-01-21,GOLD,1099.1,-0.007252
2016-01-22,GOLD,1097.2,-0.00173
2016-01-25,GOLD,1106.2,0.008169
2016-01-26,GOLD,1121.7,0.013915
2016-01-27,GOLD,1116.1,-0.005005
2016-01-28,GOLD,1115.6,-0.000448
2016-01-29,GOLD,1116.4,0.000717
2016-02-01,GOLD,1127.9,0.010248
2016-02-02,GOLD,1127.3,-0.000532
2016-02-03,GOLD,1141.3,0.012343
2016-02-04,GOLD,1157.6,0.014181
2016-02-05,GOLD,1157.8,0.000173
2016-02-08,GOLD,1197.9,0.034048
2016-02-09,GOLD,1198.7,0.000668
2016-02-10,GOLD,1194.7,-0.003343
2016-02-11,GOLD,1247.9,0.043567
2016-02-12,GOLD,1239.1,-0.007077
2016-02-16,GOLD,1207.9,-0.025502
2016-02-17,GOLD,1211.1,0.002646
2016-02-18,GOLD,1226.1,0.012309
2016-02-19,GOLD,1230.4,0.003501
2016-02-22,GOLD,1209.5,-0.017132
2016-02-23,GOLD,1222.3,0.010527
2016-02-24,GOLD,1238.7,0.013328
2016-02-25,GOLD,1238.2,-0.000404
2016-02-26,GOLD,1219.8,-0.014972
2016-02-29,GOLD,1233.9,0.011493
2016-03-01,GOLD,1230.3,-0.002922
2016-03-02,GOLD,1241.1,0.00874
2016-03-03,GOLD,1257.4,0.013048
2016-03-04,GOLD,1269.9,0.009892
2016-03-07,GOLD,1263.2,-0.00529
2016-03-08,GOLD,1262.1,-0.000871
2016-03-09,GOLD,1256.6,-0.004367
2016-03-10,GOLD,1272.0,0.012181
2016-03-11,GOLD,1258.7,-0.010511
2016-03-14,GOLD,1244.4,-0.011426
2016-03-15,GOLD,1230.4,-0.011314
2016-03-16,GOLD,1229.3,-0.000894
2016-03-17,GOLD,1264.5,0.028232
2016-03-18,GOLD,1253.8,-0.008498
2016-03-21,GOLD,1243.8,-0.008008
2016-03-22,GOLD,1248.2,0.003531
2016-03-23,GOLD,1223.7,-0.019823
2016-03-24,GOLD,1221.4,-0.001881
2016-03-28,GOLD,1219.9,-0.001229
2016-03-29,GOLD,1235.6,0.012788
2016-03-30,GOLD,1226.9,-0.007066
2016-03-31,GOLD,1234.2,0.005932
2016-04-01,GOLD,1222.2,-0.00977
2016-04-04,GOLD,1218.0,-0.003442
2016-04-05,GOLD,1228.4,0.008502
2016-04-06,GOLD,1222.5,-0.004815
2016-04-07,GOLD,1236.2,0.011144
2016-04-08,GOLD,1242.5,0.005083
2016-04-11,GOLD,1256.7,0.011364
2016-04-12,GOLD,1259.4,0.002146
2016-04-13,GOLD,1246.8,-0.010055
2016-04-14,GOLD,1225.0,-0.017639
2016-04-15,GOLD,1233.1,0.00659
2016-04-18,GOLD,1233.6,0.000405
2016-04-19,GOLD,1253.0,0.015604
2016-04-20,GOLD,1253.2,0.00016
2016-04-21,GOLD,1249.0,-0.003357
2016-04-22,GOLD,1228.7,-0.016387
2016-04-25,GOLD,1238.9,0.008267
2016-04-26,GOLD,1242.2,0.00266
2016-04-27,GOLD,1249.2,0.005619
2016-04-28,GOLD,1265.5,0.012964
2016-04-29,GOLD,1289.2,0.018555
2016-05-02,GOLD,1294.7,0.004257
2016-05-03,GOLD,1290.7,-0.003094
2016-05-04,GOLD,1273.3,-0.013573
2016-05-05,GOLD,1271.4,-0.001493
2016-05-06,GOLD,1292.9,0.016769
2016-05-09,GOLD,1265.6,-0.021341
2016-05-10,GOLD,1263.9,-0.001344
2016-05-11,GOLD,1274.6,0.00843
2016-05-12,GOLD,1270.3,-0.003379
2016-05-13,GOLD,1271.9,0.001259
2016-05-16,GOLD,1273.4,0.001179
2016-05-17,GOLD,1276.2,0.002196
2016-05-18,GOLD,1273.7,-0.001961
2016-05-19,GOLD,1254.2,-0.015428
2016-05-20,GOLD,1252.4,-0.001436
2016-05-23,GOLD,1251.1,-0.001039
2016-05-24,GOLD,1228.9,-0.017904
2016-05-25,GOLD,1223.5,-0.004404
2016-05-26,GOLD,1220.1,-0.002783
2016-05-27,GOLD,1213.8,-0.005177
2016-05-31,GOLD,1214.8,0.000824
2016-06-01,GOLD,1211.9,-0.00239
2016-06-02,GOLD,1209.8,-0.001734
2016-06-03,GOLD,1240.1,0.024737
2016-06-06,GOLD,1244.6,0.003622
2016-06-07,GOLD,1244.4,-0.000161
2016-06-08,GOLD,1259.8,0.0123
2016-06-09,GOLD,1270.2,0.008221
2016-06-10,GOLD,1273.4,0.002516
2016-06-13,GOLD,1284.4,0.008601
2016-06-14,GOLD,1285.6,0.000934
2016-06-15,GOLD,1285.8,0.000156
2016-06-16,GOLD,1296.1,0.007979
2016-06-17,GOLD,1292.5,-0.002781
2016-06-20,GOLD,1290.0,-0.001936
2016-06-21,GOLD,1270.5,-0.015232
2016-06-22,GOLD,1268.0,-0.00197
2016-06-23,GOLD,1261.2,-0.005377
2016-06-24,GOLD,1320.0,0.045568
2016-06-27,GOLD,1322.5,0.001892
2016-06-28,GOLD,1315.3,-0.005459
2016-06-29,GOLD,1323.9,0.006517
2016-06-30,GOLD,1318.4,-0.004163
2016-07-01,GOLD,1336.7,0.013785
2016-07-05,GOLD,1356.4,0.01463
2016-07-06,GOLD,1364.9,0.006247
2016-07-07,GOLD,1360.1,-0.003523
2016-07-08,GOLD,1356.6,-0.002577
2016-07-11,GOLD,1355.0,-0.00118
2016-07-12,GOLD,1334.1,-0.015545
2016-07-13,GOLD,1342.4,0.006202
2016-07-14,GOLD,1331.3,-0.008303
2016-07-15,GOLD,1326.5,-0.003612
2016-07-18,GOLD,1328.4,0.001431
2016-07-19,GOLD,1331.5,0.002331
2016-07-20,GOLD,1318.8,-0.009584
2016-07-21,GOLD,1330.5,0.008833
2016-07-22,GOLD,1323.1,-0.005577
2016-07-25,GOLD,1319.3,-0.002876
2016-07-26,GOLD,1320.7,0.001061
2016-07-27,GOLD,1326.6,0.004457
2016-07-28,GOLD,1332.3,0.004288
2016-07-29,GOLD,1349.0,0.012457
2016-08-01,GOLD,1351.4,0.001778
2016-08-02,GOLD,1364.4,0.009574
2016-08-03,GOLD,1356.1,-0.006102
2016-08-04,GOLD,1358.8,0.001989
2016-08-05,GOLD,1336.4,-0.016623
2016-08-08,GOLD,1333.4,-0.002247
2016-08-09,GOLD,1339.0,0.004191
2016-08-10,GOLD,1344.3,0.00395
2016-08-11,GOLD,1342.5,-0.00134
2016-08-12,GOLD,1335.8,-0.005003
2016-08-15,GOLD,1340.3,0.003363
2016-08-16,GOLD,1350.5,0.007581
2016-08-17,GOLD,1342.7,-0.005792
2016-08-18,GOLD,1351.2,0.006311
2016-08-19,GOLD,1340.4,-0.008025
2016-08-22,GOLD,1337.7,-0.002016
2016-08-23,GOLD,1340.6,0.002166
2016-08-24,GOLD,1324.4,-0.012158
2016-08-25,GOLD,1320.1,-0.003252
2016-08-26,GOLD,1321.5,0.00106
2016-08-29,GOLD,1322.9,0.001059
2016-08-30,GOLD,1311.7,-0.008502
2016-08-31,GOLD,1306.9,-0.003666
2016-09-01,GOLD,1312.2,0.004047
2016-09-02,GOLD,1322.1,0.007516
2016-09-06,GOLD,1349.4,0.020439
2016-09-07,GOLD,1344.3,-0.003787
2016-09-08,GOLD,1336.8,-0.005595
2016-09-09,GOLD,1330.1,-0.005025
2016-09-12,GOLD,1321.0,-0.006865
2016-09-13,GOLD,1319.0,-0.001515
2016-09-14,GOLD,1321.5,0.001894
2016-09-15,GOLD,1313.5,-0.006072
2016-09-16,GOLD,1305.8,-0.005879
2016-09-19,GOLD,1313.5,0.005879
2016-09-20,GOLD,1313.7,0.000152
2016-09-21,GOLD,1326.9,0.009998
2016-09-22,GOLD,1340.4,0.010123
2016-09-23,GOLD,1337.2,-0.00239
2016-09-26,GOLD,1339.7,0.001868
2016-09-27,GOLD,1325.9,-0.010354
2016-09-28,GOLD,1319.4,-0.004914
2016-09-29,GOLD,1321.7,0.001742
2016-09-30,GOLD,1313.3,-0.006376
2016-10-03,GOLD,1309.0,-0.00328
2016-10-04,GOLD,1266.3,-0.033164
2016-10-05,GOLD,1265.2,-0.000869
2016-10-06,GOLD,1249.8,-0.012247
2016-10-07,GOLD,1248.9,-0.00072
2016-10-10,GOLD,1248.9,0.0
2016-10-11,GOLD,1253.0,0.003277
2016-10-12,GOLD,1251.1,-0.001518
2016-10-13,GOLD,1255.0,0.003112
2016-10-14,GOLD,1253.1,-0.001515
2016-10-17,GOLD,1254.4,0.001037
2016-10-18,GOLD,1260.8,0.005089
2016-10-19,GOLD,1267.9,0.005616
2016-10-20,GOLD,1265.6,-0.001816
2016-10-21,GOLD,1265.9,0.000237
2016-10-24,GOLD,1262.0,-0.003086
2016-10-25,GOLD,1271.9,0.007814
2016-10-26,GOLD,1264.8,-0.005598
2016-10-27,GOLD,1267.9,0.002448
2016-10-28,GOLD,1275.5,0.005976
2016-10-31,GOLD,1271.5,-0.003141
2016-11-01,GOLD,1286.4,0.01165
2016-11-02,GOLD,1306.8,0.015734
2016-11-03,GOLD,1302.1,-0.003603
2016-11-04,GOLD,1303.3,0.000921
2016-11-07,GOLD,1278.3,-0.019368
2016-11-08,GOLD,1273.4,-0.003841
2016-11-09,GOLD,1272.6,-0.000628
2016-11-10,GOLD,1265.5,-0.005595
2016-11-11,GOLD,1265.5,0.0
2016-11-14,GOLD,1221.2,-0.035633
2016-11-15,GOLD,1224.0,0.00229
2016-11-16,GOLD,1223.4,-0.00049
2016-11-17,GOLD,1216.5,-0.005656
2016-11-18,GOLD,1208.5,-0.006598
2016-11-21,GOLD,1209.6,0.00091
2016-11-22,GOLD,1211.0,0.001157
2016-11-23,GOLD,1189.1,-0.01825
2016-11-25,GOLD,1178.2,-0.009209
2016-11-28,GOLD,1190.6,0.01047
2016-11-29,GOLD,1187.9,-0.00227
2016-11-30,GOLD,1170.8,-0.0145
2016-12-01,GOLD,1166.9,-0.003337
2016-12-02,GOLD,1175.1,0.007003
2016-12-05,GOLD,1174.0,-0.000937
2016-12-06,GOLD,1167.6,-0.005466
2016-12-07,GOLD,1175.0,0.006318
2016-12-08,GOLD,1169.8,-0.004435
2016-12-09,GOLD,1159.4,-0.00893
2016-12-12,GOLD,1163.5,0.00353
2016-12-13,GOLD,1156.7,-0.005862
2016-12-14,GOLD,1161.3,0.003969
2016-12-15,GOLD,1127.8,-0.029271
2016-12-16,GOLD,1135.3,0.006628
2016-12-19,GOLD,1140.5,0.00457
2016-12-20,GOLD,1131.5,-0.007923
2016-12-21,GOLD,1131.1,-0.000354
2016-12-22,GOLD,1128.8,-0.002035
2016-12-23,GOLD,1131.9,0.002742
2016-12-27,GOLD,1137.3,0.004759
2016-12-28,GOLD,1139.4,0.001845
2016-12-29,GOLD,1156.4,0.01481
2016-12-30,GOLD,1150.0,-0.00555
2017-01-03,GOLD,1160.4,0.009003
2017-01-04,GOLD,1163.8,0.002926
2017-01-05,GOLD,1179.7,0.01357
2017-01-06,GOLD,1171.9,-0.006634
2017-01-09,GOLD,1183.5,0.00985
2017-01-10,GOLD,1184.2,0.000591
2017-01-11,GOLD,1195.6,0.009581
2017-01-12,GOLD,1198.9,0.002756
2017-01-13,GOLD,1195.3,-0.003007
2017-01-17,GOLD,1212.0,0.013875
2017-01-18,GOLD,1211.3,-0.000578
2017-01-19,GOLD,1200.9,-0.008623
2017-01-20,GOLD,1204.3,0.002827
2017-01-23,GOLD,1215.0,0.008846
2017-01-24,GOLD,1210.3,-0.003876
2017-01-25,GOLD,1197.3,-0.010799
2017-01-26,GOLD,1189.5,-0.006536
2017-01-27,GOLD,1188.1,-0.001178
2017-01-30,GOLD,1193.2,0.004283
2017-01-31,GOLD,1208.6,0.012824
2017-02-01,GOLD,1205.6,-0.002485
2017-02-02,GOLD,1216.7,0.009165
2017-02-03,GOLD,1218.5,0.001478
2017-02-06,GOLD,1230.0,0.009394
2017-02-07,GOLD,1234.2,0.003409
2017-02-08,GOLD,1237.6,0.002751
2017-02-09,GOLD,1235.1,-0.002022
2017-02-10,GOLD,1234.4,-0.000567
2017-02-13,GOLD,1224.4,-0.008134
2017-02-14,GOLD,1223.9,-0.000408
2017-02-15,GOLD,1231.7,0.006353
2017-02-16,GOLD,1240.0,0.006716
2017-02-17,GOLD,1237.6,-0.001937
2017-02-21,GOLD,1237.5,-8.1e-05
2017-02-22,GOLD,1232.0,-0.004454
2017-02-23,GOLD,1250.2,0.014665
2017-02-24,GOLD,1256.9,0.005345
2017-02-27,GOLD,1257.4,0.000398
2017-02-28,GOLD,1252.6,-0.003825
2017-03-01,GOLD,1248.9,-0.002958
2017-03-02,GOLD,1231.9,-0.013705
2017-03-03,GOLD,1225.5,-0.005209
2017-03-06,GOLD,1224.5,-0.000816
2017-03-07,GOLD,1215.1,-0.007706
2017-03-08,GOLD,1208.5,-0.005446
2017-03-09,GOLD,1202.4,-0.00506
2017-03-10,GOLD,1200.7,-0.001415
2017-03-13,GOLD,1202.4,0.001415
2017-03-14,GOLD,1201.9,-0.000416
2017-03-15,GOLD,1200.1,-0.001499
2017-03-16,GOLD,1226.5,0.02176
2017-03-17,GOLD,1229.8,0.002687
2017-03-20,GOLD,1233.6,0.003085
2017-03-21,GOLD,1246.1,0.010082
2017-03-22,GOLD,1249.3,0.002565
2017-03-23,GOLD,1246.9,-0.001923
2017-03-24,GOLD,1248.2,0.001042
2017-03-27,GOLD,1255.4,0.005752
2017-03-28,GOLD,1255.3,-8e-05
2017-03-29,GOLD,1253.4,-0.001515
2017-03-30,GOLD,1245.0,-0.006724
2017-03-31,GOLD,1247.3,0.001846
2017-04-03,GOLD,1250.8,0.002802
2017-04-04,GOLD,1255.0,0.003352
2017-04-05,GOLD,1245.4,-0.007679
2017-04-06,GOLD,1250.3,0.003927
2017-04-07,GOLD,1254.3,0.003194
2017-04-10,GOLD,1251.1,-0.002555
2017-04-11,GOLD,1271.2,0.015938
2017-04-12,GOLD,1275.3,0.00322
2017-04-13,GOLD,1285.9,0.008277
2017-04-17,GOLD,1289.4,0.002718
2017-04-18,GOLD,1291.7,0.001782
2017-04-19,GOLD,1281.4,-0.008006
2017-04-20,GOLD,1281.9,0.00039
2017-04-21,GOLD,1287.4,0.004281
2017-04-24,GOLD,1275.8,-0.009051
2017-04-25,GOLD,1265.6,-0.008027
2017-04-26,GOLD,1262.1,-0.002769
2017-04-27,GOLD,1263.7,0.001267
2017-04-28,GOLD,1266.1,0.001897
2017-05-01,GOLD,1253.3,-0.010161
2017-05-02,GOLD,1255.1,0.001435
2017-05-03,GOLD,1246.4,-0.006956
2017-05-04,GOLD,1226.5,-0.016095
2017-05-05,GOLD,1224.8,-0.001387
2017-05-08,GOLD,1225.3,0.000408
2017-05-09,GOLD,1214.3,-0.009018
2017-05-10,GOLD,1217.3,0.002468
2017-05-11,GOLD,1222.7,0.004426
2017-05-12,GOLD,1226.2,0.002858
2017-05-15,GOLD,1228.6,0.001955
2017-05-16,GOLD,1235.0,0.005196
2017-05-17,GOLD,1257.5,0.018055
2017-05-18,GOLD,1251.7,-0.004623
2017-05-19,GOLD,1252.7,0.000799
2017-05-22,GOLD,1260.7,0.006366
2017-05-23,GOLD,1254.8,-0.004691
2017-05-24,GOLD,1252.4,-0.001915
2017-05-25,GOLD,1255.8,0.002711
2017-05-26,GOLD,1267.6,0.009352
2017-05-30,GOLD,1262.1,-0.004348
2017-05-31,GOLD,1272.0,0.007813
2017-06-01,GOLD,1267.0,-0.003939
2017-06-02,GOLD,1276.8,0.007705
2017-06-05,GOLD,1279.3,0.001956
2017-06-06,GOLD,1294.4,0.011734
2017-06-07,GOLD,1290.1,-0.003328
2017-06-08,GOLD,1276.3,-0.010754
2017-06-09,GOLD,1268.5,-0.00613
2017-06-12,GOLD,1266.1,-0.001894
2017-06-13,GOLD,1265.8,-0.000237
2017-06-14,GOLD,1272.8,0.005515
2017-06-15,GOLD,1252.2,-0.016317
2017-06-16,GOLD,1254.0,0.001436
2017-06-19,GOLD,1244.2,-0.007846
2017-06-20,GOLD,1241.0,-0.002575
2017-06-21,GOLD,1243.4,0.001932
2017-06-22,GOLD,1247.6,0.003372
2017-06-23,GOLD,1256.2,0.00687
2017-06-26,GOLD,1246.3,-0.007912
2017-06-27,GOLD,1246.4,8e-05
2017-06-28,GOLD,1248.0,0.001283
2017-06-29,GOLD,1244.2,-0.00305
2017-06-30,GOLD,1240.7,-0.002817
2017-07-03,GOLD,1217.9,-0.018548
2017-07-05,GOLD,1220.4,0.002051
2017-07-06,GOLD,1222.2,0.001474
2017-07-07,GOLD,1208.6,-0.01119
2017-07-10,GOLD,1212.1,0.002892
2017-07-11,GOLD,1213.6,0.001237
2017-07-12,GOLD,1218.1,0.003701
2017-07-13,GOLD,1216.3,-0.001479
2017-07-14,GOLD,1226.6,0.008433
2017-07-17,GOLD,1232.8,0.005042
2017-07-18,GOLD,1241.1,0.00671
2017-07-19,GOLD,1241.2,8.1e-05
2017-07-20,GOLD,1244.8,0.002896
2017-07-21,GOLD,1254.3,0.007603
2017-07-24,GOLD,1253.9,-0.000319
2017-07-25,GOLD,1251.7,-0.001756
2017-07-26,GOLD,1249.0,-0.002159
2017-07-27,GOLD,1259.6,0.008451
2017-07-28,GOLD,1268.4,0.006962
2017-07-31,GOLD,1266.6,-0.00142
2017-08-01,GOLD,1272.6,0.004726
2017-08-02,GOLD,1271.8,-0.000629
2017-08-03,GOLD,1267.8,-0.00315
2017-08-04,GOLD,1258.3,-0.007522
2017-08-07,GOLD,1258.2,-8e-05
2017-08-08,GOLD,1256.4,-0.001432
2017-08-09,GOLD,1273.0,0.013126
2017-08-10,GOLD,1283.7,0.00837
2017-08-11,GOLD,1287.7,0.003111
2017-08-14,GOLD,1284.2,-0.002722
2017-08-15,GOLD,1273.7,-0.00821
2017-08-16,GOLD,1276.9,0.002509
2017-08-17,GOLD,1286.4,0.007412
2017-08-18,GOLD,1285.7,-0.000544
2017-08-21,GOLD,1290.8,0.003959
2017-08-22,GOLD,1285.1,-0.004426
2017-08-23,GOLD,1288.9,0.002953
2017-08-24,GOLD,1286.5,-0.001864
2017-08-25,GOLD,1292.5,0.004653
2017-08-28,GOLD,1309.7,0.01322
2017-08-29,GOLD,1313.1,0.002593
2017-08-30,GOLD,1308.1,-0.003815
2017-08-31,GOLD,1316.2,0.006173
2017-09-01,GOLD,1324.5,0.006286
2017-09-05,GOLD,1339.2,0.011037
2017-09-06,GOLD,1333.9,-0.003965
2017-09-07,GOLD,1345.1,0.008361
2017-09-08,GOLD,1346.0,0.000669
2017-09-11,GOLD,1331.0,-0.011207
2017-09-12,GOLD,1328.0,-0.002256
2017-09-13,GOLD,1323.4,-0.00347
2017-09-14,GOLD,1324.7,0.000982
2017-09-15,GOLD,1320.4,-0.003251
2017-09-18,GOLD,1306.3,-0.010736
2017-09-19,GOLD,1306.2,-7.7e-05
2017-09-20,GOLD,1312.0,0.004431
2017-09-21,GOLD,1290.6,-0.016445
2017-09-22,GOLD,1293.3,0.00209
2017-09-25,GOLD,1306.8,0.010384
2017-09-26,GOLD,1297.0,-0.007528
2017-09-27,GOLD,1283.4,-0.010541
2017-09-28,GOLD,1285.5,0.001635
2017-09-29,GOLD,1281.5,-0.003116
2017-10-02,GOLD,1272.7,-0.006891
2017-10-03,GOLD,1271.5,-0.000943
2017-10-04,GOLD,1273.7,0.001729
2017-10-05,GOLD,1269.9,-0.002988
2017-10-06,GOLD,1271.6,0.001338
2017-10-09,GOLD,1281.8,0.007989
2017-10-10,GOLD,1290.6,0.006842
2017-10-11,GOLD,1285.8,-0.003726
2017-10-12,GOLD,1293.3,0.005816
2017-10-13,GOLD,1301.5,0.00632
2017-10-16,GOLD,1299.9,-0.00123
2017-10-17,GOLD,1283.0,-0.013086
2017-10-18,GOLD,1279.9,-0.002419
2017-10-19,GOLD,1286.9,0.005454
2017-10-20,GOLD,1277.4,-0.007409
2017-10-23,GOLD,1277.7,0.000235
2017-10-24,GOLD,1275.0,-0.002115
2017-10-25,GOLD,1275.4,0.000314
2017-10-26,GOLD,1266.3,-0.007161
2017-10-27,GOLD,1268.5,0.001736
2017-10-30,GOLD,1274.1,0.004405
2017-10-31,GOLD,1267.0,-0.005588
2017-11-01,GOLD,1274.1,0.005588
2017-11-02,GOLD,1274.9,0.000628
2017-11-03,GOLD,1266.5,-0.006611
2017-11-06,GOLD,1279.4,0.010134
2017-11-07,GOLD,1273.7,-0.004465
2017-11-08,GOLD,1281.6,0.006183
2017-11-09,GOLD,1285.6,0.003116
2017-11-10,GOLD,1272.4,-0.010321
2017-11-13,GOLD,1277.3,0.003844
2017-11-14,GOLD,1281.5,0.003283
2017-11-15,GOLD,1276.5,-0.003909
2017-11-16,GOLD,1277.4,0.000705
2017-11-17,GOLD,1295.8,0.014302
2017-11-20,GOLD,1274.6,-0.016496
2017-11-21,GOLD,1281.1,0.005087
2017-11-22,GOLD,1291.6,0.008163
2017-11-24,GOLD,1286.7,-0.003801
2017-11-27,GOLD,1293.8,0.005503
2017-11-28,GOLD,1294.7,0.000695
2017-11-29,GOLD,1282.1,-0.00978
2017-11-30,GOLD,1273.2,-0.006966
2017-12-01,GOLD,1278.8,0.004389
2017-12-04,GOLD,1274.3,-0.003525
2017-12-05,GOLD,1261.6,-0.010016
2017-12-06,GOLD,1262.8,0.000951
2017-12-07,GOLD,1249.8,-0.010348
2017-12-08,GOLD,1245.2,-0.003687
2017-12-11,GOLD,1243.7,-0.001205
2017-12-12,GOLD,1238.5,-0.00419
2017-12-13,GOLD,1245.4,0.005556
2017-12-14,GOLD,1253.8,0.006722
2017-12-15,GOLD,1254.3,0.000399
